COD_GTIN;DAT_EMISSAO;COD_TIPO_PAGAMENTO;COD_PRODUTO;COD_NCM;COD_UNIDADE;DSC_PRODUTO;VLR_UNITARIO;ID_ESTABELECIMENTO;NME_ESTABELECIMENTO;NME_LOGRADOURO;COD_NUMERO_LOGRADOURO;NME_COMPLEMENTO;NME_BAIRRO;COD_MUNICIPIO_IBGE;NME_MUNICIPIO;NME_SIGLA_UF;COD_CEP;NUM_LATITUDE;NUM_LONGITUDE
5601216120152;07/02/2019 09:45;99;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;23.9;131981;Estabelecimento 9;AVE FERNANDO FERRARI;2635;;SEGURANCA DO LAR;3205309;VITORIA;ES;29075050;-202.641.564;-402.960.111
5601216120152;07/02/2019 10:03;99;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;23.9;131981;Estabelecimento 9;AVE FERNANDO FERRARI;2635;;SEGURANCA DO LAR;3205309;VITORIA;ES;29075050;-202.641.564;-402.960.111
5601216120152;07/02/2019 14:37;1;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;23.9;131981;Estabelecimento 9;AVE FERNANDO FERRARI;2635;;SEGURANCA DO LAR;3205309;VITORIA;ES;29075050;-202.641.564;-402.960.111
5601216120152;07/02/2019 11:21;99;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;25.9;131982;Estabelecimento 3;RUA JOSE ALCANTARA BOURGUIGNON;90;LJ 01 - TERREO;MUQUICABA;3202405;GUARAPARI;ES;29215450;-206.525.589;-40.498.157
5601216120152;07/02/2019 13:11;99;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;25.9;131982;Estabelecimento 3;RUA JOSE ALCANTARA BOURGUIGNON;90;LJ 01 - TERREO;MUQUICABA;3202405;GUARAPARI;ES;29215450;-206.525.589;-40.498.157
5601216120152;07/02/2019 14:28;99;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;25.9;131982;Estabelecimento 3;RUA JOSE ALCANTARA BOURGUIGNON;90;LJ 01 - TERREO;MUQUICABA;3202405;GUARAPARI;ES;29215450;-206.525.589;-40.498.157
5601216120152;07/02/2019 09:36;99;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;23.9;131984;Estabelecimento 4;RUA LICINIO DOS SANTOS CONTE;51;L ANCORA 27|28;ENSEADA DO SUA;3205309;VITORIA;ES;29052420;-203.173.361;-402.996.172
5601216120152;07/02/2019 11:05;99;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;23.9;131984;Estabelecimento 4;RUA LICINIO DOS SANTOS CONTE;51;L ANCORA 27|28;ENSEADA DO SUA;3205309;VITORIA;ES;29052420;-203.173.361;-402.996.172
5601216120152;07/02/2019 11:26;99;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;23.9;131985;Estabelecimento 10;ROD DO SOL;5000;LOJA 1059 PARTE| LOJAS 1061| 1062 E 1063| BOULEV;JOCKEY DE ITAPARICA;3205200;VILA VELHA;ES;29103900;;
5601216120152;07/02/2019 16:29;99;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;23.9;131985;Estabelecimento 10;ROD DO SOL;5000;LOJA 1059 PARTE| LOJAS 1061| 1062 E 1063| BOULEV;JOCKEY DE ITAPARICA;3205200;VILA VELHA;ES;29103900;;
5601216120152;07/02/2019 10:05;99;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;23.9;131986;Estabelecimento 28;RUA ANTONIO BASILIO|DR;534;ED C C CAMBURI;JARDIM DA PENHA;3205309;VITORIA;ES;29060390;-202.843.701;-402.954.288
5601216120152;07/02/2019 09:00;99;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;25.9;131987;Estabelecimento 11;ROD BR 101;2063;KM 64;SANTO ANTONIO;3204906;SAO MATEUS;ES;29941510;-187.163.679;-398.761.223
5601216120152;07/02/2019 09:06;99;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;19.9;131988;Estabelecimento 21;AVE SILVIO AVIDOS;777;;SAO SILVANO;3201506;COLATINA;ES;29703163;-195.233.277;-406.371.627
5601216120152;07/02/2019 16:42;99;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;19.9;131988;Estabelecimento 21;AVE SILVIO AVIDOS;777;;SAO SILVANO;3201506;COLATINA;ES;29703163;-195.233.277;-406.371.627
5601216120152;07/02/2019 11:11;1;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;23.9;131989;Estabelecimento 25;AVE PORTO CANOA;132;;PORTO CANOA;3205002;SERRA;ES;29168345;-201.592.676;-402.551.914
5601216120152;07/02/2019 10:26;01|99;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;23.9;131990;Estabelecimento 5;RUA DO VALE;2;QUADRA 1;CRUZEIRO DO SUL;3201308;CARIACICA;ES;29144028;-20.346.229;-403.942.535
5601216120152;07/02/2019 15:43;99|99|99;8348;15091000;UN;AZEITE EXT VIRG ANDORINHA VD 500ML;23.9;131990;Estabelecimento 5;RUA DO VALE;2;QUADRA 1;CRUZEIRO DO SUL;3201308;CARIACICA;ES;29144028;-20.346.229;-403.942.535
